Emoji,ASCII Code,Hex Color
🤜,129308,#f0bd4a
🤜🏻,129308,#f4cf90
🤜🏼,129308,#e7bf7d
🤜🏽,129308,#d6a968
🤜🏾,129308,#c49453
🤜🏿,129308,#a48551
👏,128079,#eabe58
👏🏻,128079,#f1ce92
👏🏼,128079,#e5bf80
👏🏽,128079,#d5aa6d
👏🏾,128079,#c39759
👏🏿,128079,#a58857
🙌,128588,#eec769
🙌🏻,128588,#f3d39a
🙌🏼,128588,#e7c388
🙌🏽,128588,#d7ae74
🙌🏾,128588,#c59a60
🙌🏿,128588,#a68c5e
🫶,129782,#e9bc51
🫶🏻,129782,#f2d09a
🫶🏼,129782,#e4be85
🫶🏽,129782,#d1a76e
🫶🏾,129782,#bc8f56
🫶🏿,129782,#997f54
👐,128080,#f6cf70
👐🏻,128080,#f6d7a3
👐🏼,128080,#e9c58f
👐🏽,128080,#d6ae78
👐🏾,128080,#c29761
👐🏿,128080,#a0875f
🤲,129330,#f7ca4b
🤲🏻,129330,#f6d386
🤲🏼,129330,#ecc576
🤲🏽,129330,#ddb264
🤲🏾,129330,#cda152
🤲🏿,129330,#b29450
🤝,129309,#f0c24b
🤝🏻,129309,#f4d190
🤝🏼,129309,#e7c17d
🤝🏽,129309,#d6ab68
🤝🏾,129309,#c49653
🤝🏿,129309,#a48751
🫱🏻‍🫲🏼,129777,#f4d393
🫱🏻‍🫲🏽,129777,#f4d393
🫱🏻‍🫲🏾,129777,#f4d393
🫱🏻‍🫲🏿,129777,#f4d393
🫱🏼‍🫲🏻,129777,#e8c481
🫱🏼‍🫲🏽,129777,#e8c481
🫱🏼‍🫲🏾,129777,#e8c481
🫱🏼‍🫲🏿,129777,#e8c481
🫱🏽‍🫲🏻,129777,#d8af6d
🫱🏽‍🫲🏼,129777,#d8af6d
🫱🏽‍🫲🏾,129777,#d8af6d
🫱🏽‍🫲🏿,129777,#d8af6d
🫱🏾‍🫲🏻,129777,#c69b59
🫱🏾‍🫲🏼,129777,#c69b59
🫱🏾‍🫲🏽,129777,#c69b59
🫱🏾‍🫲🏿,129777,#c69b59
🫱🏿‍🫲🏻,129777,#a88d57
🫱🏿‍🫲🏼,129777,#a88d57
🫱🏿‍🫲🏽,129777,#a88d57
🫱🏿‍🫲🏾,129777,#a88d57
🙏,128591,#bbaa70
🙏🏻,128591,#dec79f
🙏🏼,128591,#d1b78c
🙏🏽,128591,#c1a177
🙏🏾,128591,#ae8c62
🙏🏿,128591,#8e7e60
✍️,9997,#cca047
✍🏻,9997,#e4c28c
✍🏼,9997,#d8b279
✍🏽,9997,#c89d66
✍🏾,9997,#b68951
✍🏿,9997,#977b4f
💅,128133,#e3ac78
💅🏻,128133,#eec7a1
💅🏼,128133,#e2b78f
💅🏽,128133,#d1a27b
💅🏾,128133,#bf8e66
💅🏿,128133,#a07f64
🤳,129331,#b0ac9b
🤳🏻,129331,#dfccb4
🤳🏼,129331,#d1b99e
🤳🏽,129331,#bea187
🤳🏾,129331,#a9896f
🤳🏿,129331,#84786c
💪,128170,#f1bf4b
💪🏻,128170,#f4cf8d
💪🏼,128170,#e8bf7b
💪🏽,128170,#d8ab67
💪🏾,128170,#c69653
💪🏿,128170,#a78851
🦾,129470,#7e7e7e
🦿,129471,#a1999a
🦵,129461,#ecc467
🦵🏻,129461,#f3d4a7
🦵🏼,129461,#e4c190
🦵🏽,129461,#d0a777
🦵🏾,129461,#b98d5d
🦵🏿,129461,#927b5a
🦶,129462,#ebb950
🦶🏻,129462,#f2ce96
🦶🏼,129462,#e4bd82
🦶🏽,129462,#d3a66c
🦶🏾,129462,#bf9056
🦶🏿,129462,#9e8153
👂,128066,#f5c750
👂🏻,128066,#f6d396
👂🏼,128066,#e8c282
👂🏽,128066,#d7ac6c
👂🏾,128066,#c39556
👂🏿,128066,#a18653
🦻,129467,#e2bb5b
🦻🏻,129467,#eece95
🦻🏼,129467,#e1be82
🦻🏽,129467,#d1a96e
🦻🏾,129467,#bf945a
🦻🏿,129467,#a08658
👃,128067,#f8ce55
👃🏻,128067,#f7d698
👃🏼,128067,#e9c584
👃🏽,128067,#d8ae6e
👃🏾,128067,#c49858
👃🏿,128067,#a28855
🧠,129504,#dc90a6
🫀,129728,#be697a
